5, 0000.09375, 01,-316442.87767, 147860.62733,-1591.76000, 81057.25280, 1.90008, 3.86663,-317292.73614, 149098.59232,-1591.76000, 81057.25280, 1.91555, 3.87681,-319170.07022, 151176.73437,-1591.76000, 81057.25280, 1.94164, 3.89946,-96430.84759, 44759.35186,-1591.76000, 81057.25280, 0.57533, 1.17837,-95987.65685, 44841.79570,-1591.76000, 81057.25280, 0.57624, 1.17288,-96706.13367, 45674.62479,-1591.76000, 81057.25280, 0.58669, 1.18154,
5, 0000.28125, 03,-137881.90265, 172021.92074,-1591.76000, 26991.29567, 6.65136, 4.71613,-137499.35856, 172518.83313,-1591.76000, 26991.29567, 6.66888, 4.70093,-137745.69539, 173668.24815,-1591.76000, 26991.29567, 6.71185, 4.70752,-42808.08766, 52410.50756,-1591.76000, 26991.29567, 2.02823, 1.46638,-42693.55096, 52097.10734,-1591.76000, 26991.29567, 2.01641, 1.46284,-42556.51824, 52569.44262,-1591.76000, 26991.29567, 2.03355, 1.45675,
5, 0000.46875, 05,-73291.37608, 131784.43913,-1591.76000, 16161.41050, 8.51829, 3.69598,-73030.08879, 131845.13983,-1591.76000, 16161.41050, 8.52043, 3.67961,-73038.52294, 132581.12975,-1591.76000, 16161.41050, 8.56558, 3.67568,-22799.98787, 40545.09090,-1591.76000, 16161.41050, 2.62227, 1.15250,-22860.93548, 40411.72508,-1591.76000, 16161.41050, 2.61447, 1.15704,-22676.73356, 40588.64687,-1591.76000, 16161.41050, 2.62420, 1.14468,
5, 0000.65625, 07,-47409.97406, 102476.16185,-1591.76000, 11508.07755, 9.29668, 2.83383,-47278.93181, 102447.49818,-1591.76000, 11508.07755, 9.29269, 2.82299,-47193.07257, 102929.47956,-1591.76000, 11508.07755, 9.33278, 2.80999,-14667.89636, 31549.37302,-1591.76000, 11508.07755, 2.86302, 0.87857,-14694.82104, 31525.87980,-1591.76000, 11508.07755, 2.86133, 0.88114,-14559.41798, 31581.09455,-1591.76000, 11508.07755, 2.86444, 0.86895,
5, 0000.84375, 09,-34800.17716, 82229.77900,-1591.76000, 8913.56083, 9.61580, 2.18702,-34735.45142, 82186.47524,-1591.76000, 8913.56083, 9.60983, 2.18082,-34645.93812, 82488.55430,-1591.76000, 8913.56083, 9.64094, 2.16523,-10776.15867, 25281.07035,-1591.76000, 8913.56083, 2.95782, 0.68076,-10752.17108, 25278.52284,-1591.76000, 8913.56083, 2.95707, 0.67820,-10665.89968, 25287.26491,-1591.76000, 8913.56083, 2.95635, 0.66866,
5, 0001.03125, 11,-28033.20499, 67654.54124,-1591.76000, 7254.83180, 9.70601, 1.73451,-28008.22305, 67610.82382,-1591.76000, 7254.83180, 9.69954, 1.73248,-27961.18456, 67805.69974,-1591.76000, 7254.83180, 9.72381, 1.72068,-8725.38138, 20813.53876,-1591.76000, 7254.83180, 2.98892, 0.54691,-8675.93202, 20795.55215,-1591.76000, 7254.83180, 2.98512, 0.54093,-8624.27553, 20791.48383,-1591.76000, 7254.83180, 2.98310, 0.53425,
5, 0001.21875, 13,-24253.49991, 56837.07062,-1591.76000, 6099.94816, 9.69500, 1.44614,-24255.91863, 56803.01875,-1591.76000, 6099.94816, 9.68987, 1.44788,-24258.74553, 56952.36736,-1591.76000, 6099.94816, 9.71290, 1.44233,-7567.10720, 17537.93698,-1591.76000, 6099.94816, 2.99488, 0.45902,-7516.81723, 17501.01059,-1591.76000, 6099.94816, 2.98719, 0.45278,-7484.84672, 17496.80319,-1591.76000, 6099.94816, 2.98527, 0.44804,
5, 0001.40625, 15,-22083.96182, 48664.08689,-1591.76000, 5247.32949, 9.66168, 1.27777,-22102.32561, 48646.22564,-1591.76000, 5247.32949, 9.65953, 1.28192,-22136.00703, 48790.75092,-1591.76000, 5247.32949, 9.68654, 1.28015,-6865.47682, 15070.93433,-1591.76000, 5247.32949, 2.99354, 0.40029,-6826.02537, 15023.16375,-1591.76000, 5247.32949, 2.98312, 0.39594,-6805.21869, 15022.39788,-1591.76000, 5247.32949, 2.98188, 0.39235,
5, 0001.59375, 17,-20762.49633, 42397.78908,-1591.76000, 4590.25012, 9.64516, 1.17852,-20784.93720, 42397.99683,-1591.76000, 4590.25012, 9.64672, 1.18287,-20820.60669, 42552.39139,-1591.76000, 4590.25012, 9.67915, 1.17940,-6404.73254, 13161.17979,-1591.76000, 4590.25012, 2.99134, 0.35798,-6378.41373, 13111.67747,-1591.76000, 4590.25012, 2.97994, 0.35620,-6361.75238, 13114.05054,-1591.76000, 4590.25012, 2.97928, 0.35280,
5, 0001.78125, 19,-19852.48860, 37499.24964,-1591.76000, 4066.91539, 9.65248, 1.10355,-19868.97802, 37513.35447,-1591.76000, 4066.91539, 9.65687, 1.10589,-19883.52593, 37669.71292,-1591.76000, 4066.91539, 9.69142, 1.09594,-6073.44036, 11640.10228,-1591.76000, 4066.91539, 2.98879, 0.32359,-6057.80962, 11595.01764,-1591.76000, 4066.91539, 2.97788, 0.32402,-6042.39105, 11599.38630,-1591.76000, 4066.91539, 2.97752, 0.32036,
5, 0001.96875, 21,-19120.69875, 33564.77613,-1591.76000, 3639.06572, 9.67135, 1.02395,-19127.39469, 33584.85926,-1591.76000, 3639.06572, 9.67665, 1.02347,-19112.88716, 33724.72568,-1591.76000, 3639.06572, 9.70745, 1.00601,-5817.14698, 10394.23594,-1591.76000, 3639.06572, 2.98449, 0.29308,-5807.86242, 10356.28436,-1591.76000, 3639.06572, 2.97480, 0.29477,-5792.96624, 10360.85347,-1591.76000, 3639.06572, 2.97435, 0.29088,
